,driverId,fname,lname,raceId,year,laps,fastestLapTime,fastestLap,fastestLapSpeed,averagelaptime,time_deviation,avg_pitstop,pit_dev
0,1,Lewis,Hamilton,841.0,2011,58,90.314,41.0,211.382,92.97510344827582,4.2649723377464355,23.213,0.019798989873222407
1,1,Lewis,Hamilton,842.0,2011,56,101.512,54.0,196.575,105.5319464285714,5.339067339116766,23.25275,1.4207480130785572
2,1,Lewis,Hamilton,843.0,2011,56,100.41499999999999,48.0,195.424,103.89689285714284,4.210604628051206,20.659333333333333,0.19013241000243275
3,1,Lewis,Hamilton,844.0,2011,58,90.108,48.0,213.264,94.09982758620691,5.59081379739304,24.90925,7.204757612161565
4,1,Lewis,Hamilton,845.0,2011,66,86.727,52.0,193.227,90.05956060606061,4.305743638546746,20.36425,0.510394210390361
5,1,Lewis,Hamilton,846.0,2011,78,77.84700000000001,54.0,154.456,100.0715769230769,137.5062205161529,25.923000000000002,6.117482161804805
6,1,Lewis,Hamilton,848.0,2011,57,102.947,47.0,189.499,105.65542105263162,3.9371175185995098,20.529,0.44285776497652174
7,1,Lewis,Hamilton,849.0,2011,52,96.18,39.0,220.499,102.8881153846154,7.552719805276346,24.168333333333337,0.8845384860667933
8,1,Lewis,Hamilton,850.0,2011,60,94.30199999999999,59.0,196.526,97.5055666666667,4.126060444551242,20.627,0.31093568466806804
9,1,Lewis,Hamilton,851.0,2011,70,83.661,61.0,188.517,92.1525,8.539315342256238,19.866666666666667,3.3106857698468857
10,1,Lewis,Hamilton,852.0,2011,12,115.64699999999999,8.0,218.029,118.2910833333333,3.896248742720558,21.895,
11,1,Lewis,Hamilton,853.0,2011,53,86.187,52.0,241.971,91.76583018867923,11.365883668539078,21.9795,0.14637110370561335
12,1,Lewis,Hamilton,854.0,2011,61,110.832,54.0,164.779,118.270868852459,8.87080514661326,29.7044,3.3186585844283543
13,1,Lewis,Hamilton,855.0,2011,53,97.64500000000001,49.0,214.093,103.35273584905663,10.93829588075932,21.73466666666667,0.9461449853660556
14,1,Lewis,Hamilton,856.0,2011,55,100.459,54.0,201.216,107.16387272727275,13.108283184271587,20.715,0.18526197667087577
15,1,Lewis,Hamilton,857.0,2011,60,88.721,58.0,207.955,91.98641666666664,5.0030678157715425,23.965,2.8012548973629663
16,1,Lewis,Hamilton,858.0,2011,55,103.461,51.0,193.255,106.0342909090909,3.746287765897839,19.3945,0.06293250352560176
17,1,Lewis,Hamilton,859.0,2011,46,77.209,35.0,200.914,79.55976086956521,3.7380158503009926,20.725333333333335,0.3535906295892654
18,1,Lewis,Hamilton,860.0,2012,58,89.538,57.0,213.214,97.47655172413789,15.276010054953227,23.162999999999997,0.4256782822743018
19,1,Lewis,Hamilton,861.0,2012,56,101.539,50.0,196.523,176.90005357142857,403.3027858382885,26.189999999999998,1.8494466740082007
20,1,Lewis,Hamilton,862.0,2012,56,100.53,40.0,195.201,103.80251785714283,4.0157266476649305,20.590333333333334,0.37332202363821637
21,1,Lewis,Hamilton,863.0,2012,57,97.733,38.0,199.351,101.22761403508773,5.504264148154288,27.553,3.5296001189936512
22,1,Lewis,Hamilton,864.0,2012,66,88.918,50.0,188.465,91.3225,3.6723178857291425,20.9715,1.402192747092924
23,1,Lewis,Hamilton,865.0,2012,78,78.806,46.0,152.577,81.67510256410254,5.652569434347818,25.748,
24,1,Lewis,Hamilton,866.0,2012,70,77.02,59.0,203.837,79.27980000000002,2.825241636966008,21.9525,0.8167083322704632
25,1,Lewis,Hamilton,867.0,2012,55,104.007,43.0,187.568,110.00494545454539,11.830179571002079,25.218,8.291534116193455
26,1,Lewis,Hamilton,868.0,2012,52,96.173,44.0,220.515,98.99521153846155,3.790833026236506,24.750500000000002,0.3570889244992058
27,1,Lewis,Hamilton,869.0,2012,56,80.09100000000001,34.0,205.596,83.81346428571429,6.826800626845734,19.162333333333333,1.7247928378020754
28,1,Lewis,Hamilton,870.0,2012,69,85.67699999999999,65.0,184.082,87.90584057971014,3.04815390428558,19.747500000000002,0.9736860376938752
29,1,Lewis,Hamilton,872.0,2012,53,88.42699999999999,52.0,235.841,90.21171698113206,2.488966957296499,20.736,
30,1,Lewis,Hamilton,873.0,2012,22,115.541,14.0,158.063,117.81268181818179,4.286055466902868,29.124,
31,1,Lewis,Hamilton,874.0,2012,53,97.75999999999999,45.0,213.842,101.56098113207553,8.84479478931093,20.471,0.9574225817265848
32,1,Lewis,Hamilton,875.0,2012,55,102.721,49.0,196.785,106.69714545454546,3.785241229252947,19.954000000000004,0.719108475822668
33,1,Lewis,Hamilton,876.0,2012,60,88.944,58.0,207.433,91.41088333333336,2.7251341257096593,20.852,
34,1,Lewis,Hamilton,878.0,2012,56,99.709,55.0,199.047,102.7726607142857,3.2972462465010004,20.814,
35,1,Lewis,Hamilton,879.0,2012,54,78.069,38.0,198.701,87.26598148148149,11.717449968076142,23.008000000000003,1.9827274144470781
36,1,Lewis,Hamilton,880.0,2013,58,89.759,45.0,212.689,93.94458620689656,4.995794262877465,21.98266666666667,0.190568447895589
37,1,Lewis,Hamilton,881.0,2013,56,101.001,32.0,197.57,106.22967857142858,7.172234334525795,22.3045,1.756196173552374
38,1,Lewis,Hamilton,882.0,2013,56,99.981,50.0,196.273,103.55833928571424,4.240152828621267,20.18766666666667,0.5191534776280831
39,1,Lewis,Hamilton,883.0,2013,57,98.20400000000001,48.0,198.395,101.67943859649121,4.462384004164879,21.705333333333332,0.326982160573529
40,1,Lewis,Hamilton,884.0,2013,65,87.895,53.0,190.659,91.8086923076923,4.790368066896964,20.326750000000004,1.161541325136562
