,driverId,fname,lname,raceId,year,laps,fastestLapTime,fastestLap,fastestLapSpeed,averagelaptime,lap_deviation,avg_pitstop,pit_dev,race_position,circuitId
40,1,Lewis,Hamilton,1040,2020,53,98.075,48.0,214.66,106.85081132075473,20.98883697721299,41.352,,3,71.0
41,1,Lewis,Hamilton,1041,2020,60,88.145,58.0,210.253,95.82735,16.173850659215642,23.5815,0.5678067452927983,1,20.0
42,1,Lewis,Hamilton,1042,2020,66,78.75,63.0,212.708,81.77012121212123,3.9620331358655965,27.162,,1,75.0
43,1,Lewis,Hamilton,1043,2020,63,75.484,63.0,234.121,84.32428571428574,16.749463497838903,30.6535,0.3839589821842948,1,21.0
44,1,Lewis,Hamilton,1044,2020,58,99.413,56.0,193.302,105.85022413793104,7.527896185785811,23.86,,1,5.0
45,1,Lewis,Hamilton,1045,2020,57,92.864,38.0,209.803,126.09675438596491,166.39236284417373,404.12833333333333,658.0499957368995,1,3.0
46,1,Lewis,Hamilton,1047,2020,55,101.42,37.0,197.144,105.58290909090906,12.670663586166457,22.406,,3,24.0
47,1,Lewis,Hamilton,1051,2021,57,85.084,50.0,227.633,88.92054385964914,5.046668802537597,25.308,0.1032375900532365,1,78.0
48,1,Lewis,Hamilton,1052,2021,56,94.015,44.0,207.235,98.64101785714286,11.274986141480815,24.4575,0.5395224740453345,1,3.0
49,1,Lewis,Hamilton,1053,2021,63,76.702,60.0,230.403,117.08885714285715,190.20899465951257,407.72775,724.8177275537968,2,21.0
50,1,Lewis,Hamilton,1054,2021,66,80.93299999999999,47.0,206.971,85.93062121212121,12.72602496493538,23.832333333333334,2.665959927180702,1,75.0
51,1,Lewis,Hamilton,1055,2021,66,80.66499999999999,54.0,208.64,84.66181818181819,9.6359287028513,22.149,0.10040916292848936,1,4.0
52,1,Lewis,Hamilton,1056,2021,78,72.909,69.0,164.769,76.98783333333334,3.0370659218100475,24.0135,0.32597622612699734,7,6.0
53,1,Lewis,Hamilton,1057,2021,51,104.769,43.0,206.27,157.53094117647058,290.540350844726,679.6083333333333,1144.2974786402062,15,73.0
54,1,Lewis,Hamilton,1058,2021,71,67.05799999999999,71.0,231.811,70.06574647887325,3.033348129982116,21.4295,0.2976919548795361,2,70.0
55,1,Lewis,Hamilton,1059,2021,53,97.41,44.0,215.903,99.0315849056604,2.9997881555585413,30.263,,2,34.0
56,1,Lewis,Hamilton,1060,2021,71,68.126,55.0,228.177,71.56330985915494,7.956404714965799,21.213,0.29415642097360406,4,70.0
57,1,Lewis,Hamilton,1061,2021,52,89.699,45.0,236.43,136.60161538461534,296.2112463553971,1044.3210000000001,1419.9481983685182,1,9.0
58,1,Lewis,Hamilton,1062,2021,70,78.715,49.0,200.363,106.94192857142856,182.2779870223167,378.42850000000004,713.887032266077,2,11.0
59,1,Lewis,Hamilton,1064,2021,72,71.097,72.0,215.654,75.3656527777778,3.7961220210716906,19.28,0.45603070072090574,2,39.0
60,1,Lewis,Hamilton,1066,2021,53,97.575,43.0,215.76,102.66039622641506,6.171867428220081,29.9615,0.11808683245815456,1,71.0
61,1,Lewis,Hamilton,1067,2021,58,92.763,52.0,207.16,94.92956896551726,2.6537488221287617,22.684,,5,5.0
62,1,Lewis,Hamilton,1069,2021,56,98.485,41.0,201.521,101.39080357142856,4.103043860885555,24.0785,0.569220958855173,2,69.0
63,1,Lewis,Hamilton,1070,2021,71,79.82,66.0,194.116,83.60057746478871,10.231658470037246,22.373,,2,32.0
64,1,Lewis,Hamilton,1071,2021,71,71.982,46.0,215.503,78.06832394366194,13.01593147402131,20.481,2.554163398584098,1,18.0
65,1,Lewis,Hamilton,1072,2021,50,90.73400000000001,47.0,244.962,151.50236,227.62049278468146,701.0366666666667,591.0397056791813,1,77.0
66,1,Lewis,Hamilton,1073,2021,58,86.615,43.0,219.495,93.44139655172411,15.662301124809165,21.595,,2,24.0
67,1,Lewis,Hamilton,1074,2022,57,96.22800000000001,53.0,202.469,102.8641929824561,11.190855132075152,25.525333333333332,0.3011085075738197,3,3.0
68,1,Lewis,Hamilton,1075,2022,50,92.997,47.0,239.001,102.66481999999998,16.758472296174034,21.788,,10,77.0
