,driverId,fname,lname,raceId,year,laps,fastestLapTime,fastestLap,fastestLapSpeed,avg_laptime,lap_deviation,avg_pitstop,pit_dev,race_position,circuitId,constructorId,q1,q2,q3,starting_position
28,1,Lewis,Hamilton,1027,2019,71,79.461,66.0,194.993,81.81554929577464,4.303857149742816,22.269,,1.0,32.0,131.0,1:16.424,1:15.721,1:15.262,4.0
29,1,Lewis,Hamilton,1028,2019,56,98.446,26.0,201.6,100.71073214285711,2.775434056084799,23.943,,2.0,69.0,131.0,1:33.454,1:33.045,1:32.321,5.0
30,1,Lewis,Hamilton,1029,2019,71,71.082,46.0,218.232,78.88474647887323,14.549787385504306,23.01,0.1117318217877066,7.0,18.0,131.0,1:08.614,1:08.088,1:07.699,3.0
31,1,Lewis,Hamilton,1030,2019,55,99.283,53.0,201.387,102.64936363636362,2.9220249914237644,22.178,,1.0,24.0,131.0,1:35.851,1:35.634,1:34.779,1.0
32,1,Lewis,Hamilton,1031,2020,71,67.712,67.0,229.572,76.85109859154932,16.2494975607203,19.1075,3.878480694808215,4.0,70.0,131.0,1:04.198,1:03.096,1:02.951,2.0
33,1,Lewis,Hamilton,1032,2020,71,66.719,68.0,232.989,70.00961971830985,8.476963459646203,21.729,,1.0,70.0,131.0,1:18.188,1:17.825,1:19.273,1.0
34,1,Lewis,Hamilton,1033,2020,70,76.627,70.0,205.823,82.46390000000001,5.826842504269805,22.33666666666667,0.08227595841637599,1.0,11.0,131.0,1:14.907,1:14.261,1:13.447,1.0
35,1,Lewis,Hamilton,1034,2020,52,89.238,45.0,237.652,101.5631346153846,23.327674143435466,28.805,,1.0,9.0,131.0,1:25.900,1:25.347,1:24.303,1.0
36,1,Lewis,Hamilton,1035,2020,52,88.451,43.0,239.766,92.17921153846152,3.794290134009354,28.904,0.704278354061803,2.0,9.0,131.0,1:26.818,1:26.266,1:25.217,2.0
37,1,Lewis,Hamilton,1036,2020,66,79.822,63.0,209.942,83.41331818181818,3.625809652431348,22.615000000000002,1.0776307345282965,1.0,4.0,131.0,1:16.872,1:16.013,1:15.584,1.0
38,1,Lewis,Hamilton,1037,2020,44,107.75800000000001,28.0,233.99,114.7445681818182,18.752583895631155,23.298,,1.0,13.0,131.0,1:42.323,1:42.014,1:41.252,1.0
39,1,Lewis,Hamilton,1038,2020,53,82.746,34.0,252.033,121.57171698113207,219.30870429552888,524.3926666666667,859.5124564614136,7.0,14.0,131.0,1:19.514,1:19.092,1:18.887,1.0
40,1,Lewis,Hamilton,1039,2020,59,78.833,58.0,239.518,141.95016949152543,263.3088658610639,560.0776,739.8245341885466,1.0,76.0,131.0,1:15.778,1:15.309,1:15.144,1.0
41,1,Lewis,Hamilton,1040,2020,53,98.075,48.0,214.66,106.85081132075473,20.98883697721299,41.352,,3.0,71.0,131.0,1:32.983,1:32.835,1:31.304,1.0
42,1,Lewis,Hamilton,1041,2020,60,88.145,58.0,210.253,95.82735,16.173850659215642,23.5815,0.5678067452927983,1.0,20.0,131.0,1:26.620,1:25.390,1:25.525,2.0
43,1,Lewis,Hamilton,1042,2020,66,78.75,63.0,212.708,81.77012121212123,3.9620331358655965,27.162,,1.0,75.0,131.0,1:16.828,1:16.824,1:16.652,1.0
44,1,Lewis,Hamilton,1043,2020,63,75.484,63.0,234.121,84.32428571428574,16.749463497838903,30.6535,0.3839589821842948,1.0,21.0,131.0,1:14.229,1:14.643,1:13.706,2.0
45,1,Lewis,Hamilton,1044,2020,58,99.413,56.0,193.302,105.85022413793104,7.527896185785811,23.86,,1.0,5.0,131.0,2:07.599,1:52.709,1:52.560,6.0
46,1,Lewis,Hamilton,1045,2020,57,92.864,38.0,209.803,126.09675438596491,166.39236284417373,404.12833333333333,658.0499957368995,1.0,3.0,131.0,1:28.343,1:27.586,1:27.264,1.0
47,1,Lewis,Hamilton,1047,2020,55,101.42,37.0,197.144,105.58290909090906,12.670663586166457,22.406,,3.0,24.0,131.0,1:35.528,1:35.466,1:35.332,3.0
48,1,Lewis,Hamilton,1051,2021,57,85.084,50.0,227.633,88.92054385964914,5.046668802537597,25.308,0.1032375900532365,1.0,78.0,131.0,1:21.901,1:21.682,1:20.827,1.0
49,1,Lewis,Hamilton,1052,2021,56,94.015,44.0,207.235,98.64101785714286,11.274986141480815,24.4575,0.5395224740453345,1.0,3.0,131.0,1:30.617,1:30.085,1:29.385,2.0
50,1,Lewis,Hamilton,1053,2021,63,76.702,60.0,230.403,117.08885714285715,190.20899465951257,407.72775,724.8177275537968,2.0,21.0,131.0,1:14.823,1:14.817,1:14.411,1.0
51,1,Lewis,Hamilton,1054,2021,66,80.93299999999999,47.0,206.971,85.93062121212121,12.72602496493538,23.832333333333334,2.665959927180702,1.0,75.0,131.0,1:18.857,1:17.968,1:18.355,2.0
52,1,Lewis,Hamilton,1055,2021,66,80.66499999999999,54.0,208.64,84.66181818181819,9.6359287028513,22.149,0.10040916292848936,1.0,4.0,131.0,1:18.245,1:17.166,1:16.741,1.0
53,1,Lewis,Hamilton,1056,2021,78,72.909,69.0,164.769,76.98783333333334,3.0370659218100475,24.0135,0.32597622612699734,7.0,6.0,131.0,1:11.622,1:11.116,1:11.095,7.0
54,1,Lewis,Hamilton,1057,2021,51,104.769,43.0,206.27,157.53094117647058,290.540350844726,679.6083333333333,1144.2974786402062,15.0,73.0,131.0,1:41.545,1:41.634,1:41.450,2.0
55,1,Lewis,Hamilton,1058,2021,71,67.05799999999999,71.0,231.811,70.06574647887325,3.033348129982116,21.4295,0.2976919548795361,2.0,70.0,131.0,1:04.672,1:04.512,1:04.067,3.0
56,1,Lewis,Hamilton,1059,2021,53,97.41,44.0,215.903,99.0315849056604,2.9997881555585413,30.263,,2.0,34.0,131.0,1:31.237,1:30.788,1:30.248,2.0
57,1,Lewis,Hamilton,1060,2021,71,68.126,55.0,228.177,71.56330985915494,7.956404714965799,21.213,0.29415642097360406,4.0,70.0,131.0,1:04.506,1:04.258,1:04.014,4.0
